,decade,school,counts,image_url
96,1730,london,1,http://farm4.staticflickr.com/3672/11219186723_faed56bed0_b.jpg
97,1730,westminster,1,http://farm4.staticflickr.com/3715/11219051336_579417e557_b.jpg
98,1730,london,1,http://farm3.staticflickr.com/2827/11219065874_cdf1757ea7_b.jpg
99,1730,london,1,http://farm8.staticflickr.com/7419/11219067895_4a0bbfe6c1_b.jpg
100,1730,london,1,http://farm8.staticflickr.com/7433/11219065416_45864f10f2_b.jpg
101,1730,london,1,http://farm4.staticflickr.com/3729/11219040905_c5ff3cd104_b.jpg
102,1730,london,1,http://farm8.staticflickr.com/7455/11219044644_317bbde232_b.jpg
103,1730,london,1,http://farm8.staticflickr.com/7398/11219070186_6386a542c8_b.jpg
104,1730,london,1,http://farm4.staticflickr.com/3725/11219043264_5e7b7efa90_b.jpg
105,1730,london,1,http://farm4.staticflickr.com/3753/11219038834_0fd5b6b0e1_b.jpg
106,1730,london,1,http://farm4.staticflickr.com/3725/11219038565_7b647563ba_b.jpg
107,1730,london,1,http://farm4.staticflickr.com/3754/11219168503_e8303eab1d_b.jpg
108,1730,london,1,http://farm4.staticflickr.com/3693/11219068105_9e7d6fc087_b.jpg
109,1730,london,1,http://farm8.staticflickr.com/7354/11219058604_79edf692be_b.jpg
110,1730,london,1,http://farm3.staticflickr.com/2892/11219157223_10ddaacdd1_b.jpg
111,1730,london,1,http://farm4.staticflickr.com/3761/11219084796_3b76f40c12_b.jpg
112,1730,london,1,http://farm6.staticflickr.com/5517/11219050965_e0155c128d_b.jpg
113,1730,london,1,http://farm4.staticflickr.com/3715/11219184333_dd9c8f4588_b.jpg
114,1730,london,1,http://farm6.staticflickr.com/5480/11219079036_48598cdd3e_b.jpg
115,1740,london,1,http://farm8.staticflickr.com/7387/11219191073_26488fd0d1_b.jpg
116,1740,london,1,http://farm8.staticflickr.com/7405/11219072755_fb0fed5bf0_b.jpg
117,1740,london,1,http://farm4.staticflickr.com/3781/11219192723_6c99fa4178_b.jpg
118,1740,london,1,http://farm8.staticflickr.com/7451/11219094226_d5d2c06ab4_b.jpg
119,1740,london,1,http://farm4.staticflickr.com/3708/11219201873_f571f02f8f_b.jpg
120,1740,london,1,http://farm3.staticflickr.com/2861/11219102846_8ec73a883e_b.jpg
121,1740,dublin,1,http://farm4.staticflickr.com/3831/10999235224_a53c844973_b.jpg
122,1740,london,1,http://farm8.staticflickr.com/7392/11219093785_27025d4e83_b.jpg
123,1740,london,1,http://farm8.staticflickr.com/7311/11219093705_85c08952c3_b.jpg
124,1740,london,1,http://farm3.staticflickr.com/2826/11219072454_12de1e1ec2_b.jpg
125,1740,oxonii,1,http://farm8.staticflickr.com/7425/11047037764_fa05c60808_b.jpg
